Date,Campaign_Name,Ad_Set_Name,Total_Cost,Impressions,Clicks,Conversions,,,,
9/2/2022,Camp1,GAds1,99.71,14531,22,11,,,,
9/2/2022,Camp2,GAds2,101.00,10289,139,4,,,,
9/2/2022,Camp3,GAds3,107.68,14213,63,3,,,,
9/3/2022,Camp1,GAds1,91.30,13908,138,3,,,,
9/3/2022,Camp2,GAds2,111.51,14108,107,1,,,,
9/3/2022,Camp3,GAds3,80.98,14786,120,10,,,,
9/4/2022,Camp1,GAds1,99.11,13294,164,4,,,,
9/4/2022,Camp2,GAds2,86.91,11981,187,1,,,,
9/4/2022,Camp3,GAds3,83.65,7759,191,2,,,,
9/5/2022,Camp1,GAds1,82.50,13616,181,5,,,,
9/5/2022,Camp2,GAds2,90.25,11028,176,6,,,,
9/5/2022,Camp3,GAds3,109.97,14611,31,10,,,,
9/6/2022,Camp1,GAds1,96.48,11401,194,8,,,,
9/6/2022,Camp2,GAds2,112.73,13129,121,4,,,,
9/6/2022,Camp3,GAds3,98.69,9894,37,2,,,,
9/7/2022,Camp1,GAds1,85.53,10728,167,4,,,,
9/7/2022,Camp2,GAds2,91.28,7122,64,1,,,,
9/7/2022,Camp3,GAds3,80.07,13700,69,10,,,,
9/8/2022,Camp1,GAds1,87.36,14172,89,4,,,,
9/8/2022,Camp2,GAds2,82.25,11816,46,10,,,,
9/8/2022,Camp3,GAds3,117.75,14466,24,3,,,,
